id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,response,complain,country,age,total_spend,total_purchases
1826,1970,Graduation,Divorced,0.0,0,0,,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,55,1190,14
1,1961,Graduation,Single,0.0,0,0,,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,64,577,17
10476,1958,Graduation,Married,0.0,0,1,,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,67,251,10
1386,1967,Graduation,Together,0.0,1,1,,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,58,11,3
5371,1989,Graduation,Single,0.0,1,0,,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,36,91,6
7348,1958,PhD,Single,0.0,0,0,,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,67,1192,16
4073,1954,2n Cycle,Married,0.0,0,0,,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,71,1215,27
1991,1967,Graduation,Together,0.0,0,1,,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,58,96,6
4047,1954,PhD,Married,0.0,0,1,,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,71,544,17
9477,1954,PhD,Married,0.0,0,1,,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,71,544,17
2079,1947,2n Cycle,Married,0.0,0,0,,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,78,1208,21
5642,1979,Master,Together,0.0,1,0,,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,46,222,10
10530,1959,PhD,Widow,0.0,0,0,,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,66,1156,15
2964,1981,Graduation,Married,0.0,0,0,,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,44,72,4
10311,1969,Graduation,Married,0.0,0,1,,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,56,359,25
837,1977,Graduation,Married,0.0,1,1,,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,48,174,8
10521,1977,Graduation,Married,0.0,1,1,,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,48,174,8
10175,1958,PhD,Divorced,0.0,0,1,,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,67,22,4
1473,1960,2n Cycle,Single,0.0,0,1,,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,65,72,5
2795,1958,Master,Single,0.0,2,1,,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,67,13,3
2285,1954,Master,Together,0.0,0,1,,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,71,335,12
115,1966,Master,Single,0.0,0,1,,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,59,393,14
10470,1979,Master,Married,0.0,1,0,,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,46,92,6
4065,1976,PhD,Married,0.0,1,0,,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,49,404,14
10968,1969,Graduation,Single,0.0,0,1,,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,56,704,22
5985,1965,Master,Single,0.0,0,1,,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,60,122,7
5430,1956,Graduation,Together,0.0,1,1,,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,69,684,19
8432,1956,Graduation,Together,0.0,1,1,,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,69,684,19
